事件id,事件名称,朝代,时期,年号,年份,事件简介,事件内容,检索词,事件类别,特征类别,一级地点,二级地点,相关人物,相关作品
344,胡适诗作针砭时事,现当代,现当代,,,胡适诗作打破了古诗中用典用韵的特征,胡适部分诗作也具有针砭时事的主题，如《外交》里以白描的手法描述了深夜泥水匠修补鼓楼的红墙的场景，第二段则讽刺道：“我们很感谢美国的议员团，/你们这一次来游，/使霉烂的南京也添上一些儿新气象!” 揭示了深夜赶工的原因是为了国际形象而粉饰腐败霉烂的墙壁，而不是为了市容市貌的美化，国民政府的腐败借此昭然若揭。胡适在南京创作或以南京为背景创作的诗歌作品文风浅直，近于断句的散文，缺乏传统诗歌的意境和韵律美，如《湖上》里“水上一个萤火，/水里一个萤火，/平排着，/轻轻地，/打我们的船边飞过。/他们俩儿越飞越近，/渐渐地并作了一个。” 诗句中叙述了诗人泛舟湖上，看到玄武湖边萤火虫纷飞的情景，彻底打破了古诗中用典用韵的特征。,胡适,作品事件,文人+影响,南京,,胡适,《外交》
345,陆志韦诗歌创作带有“业余”心态,现当代,现当代,,1923年,陆志韦诗歌创作态度使其作品独具特色,1923年陆志韦出版诗集《渡河》，收录诗歌90首，内容广泛。他在《自序》中强调诗歌创作带有“业余”心态，形式自由、题材广泛。“我的做诗，不是职业，乃是极自由的工作。非但古人不能压制我，时人也不能威吓我。”陆志韦的新诗没有明显的思想倾向，也不受文坛“将令”，完全发自于内心，具有独立的诗歌立场和多元的诗歌形式，“我对于种种不同的主义，可一概置之不问。浪漫也好，写实也好。”“我绝不敢用我的诗作宣传任何主义或非任何主义的工具……我作诗只是为己，不愿为人。” 这种不党不群的诗歌创作态度使陆志韦的作品成为现代新诗史中独具特色的部分。,陆志韦,作品事件,文人＋作品内容,,,陆志韦,
347,陆志韦开展中国诗歌主题的演讲,现当代,现当代,,1934年,陆志韦在国外开展演讲,陆志韦的诗歌理论不断发展完善，1934年在芝加哥大学国际会议厅作过多场以中国诗歌为主题的演讲，包括文人的诗与格律、古代和现代的民歌、诗的艺术技巧等。,陆志韦,作者事件,文人＋事件,芝加哥,芝加哥大学会议厅,陆志韦,
349,周灵均对新诗全盘否定,现当代,现当代,,1923年,对新诗相对公允的评价1935年才出现,《渡河》这部诗集出版后毁誉参半，1923年12月8日，周灵均在北京星星文学社《文学周刊》（第17号）上发表《删诗》一文，将陆志韦《渡河》、胡适《尝试集》、郭沫若《女神》、俞平伯《冬夜》、康白情《草儿》、徐玉诺《将来之花缘》、汪静之《蕙的风》、朱自清、周作人、徐玉诺、郭绍虞、叶绍钧、刘延陵、郑振铎合集《雪朝》八部新诗相提并论，全用“不佳”、“不是诗”、“未成熟的作品”等言语予以全盘否定。相对公允的评价直到1935年才出现。,星星文学社,作者事件,现象,北京,星星文学社,周灵均、陆志韦、胡适、郭沫若、俞平伯、康白情、徐玉诺、汪静之、朱自清、周作人、徐玉诺、郭绍虞、叶绍钧、刘延陵、郑振铎,《渡河》、《文学周刊》（第17号）、《渡河》、《尝试集》、《女神》、《冬夜》、《草儿》、《将来之花缘》、《蕙的风》、《雪朝》
351,卢前与陆志韦诗歌创作观念一致,现当代,现当代,,,卢前在诗歌形式上没有太大贡献,与陆志韦同期出现的东南大学新诗诗人卢前虽然在诗歌形式上没有太大的贡献，但在诗歌创作实践中却体现出与陆志韦不谋而合的诗歌观念。,卢前,作者事件,文人+事件,,东南大学,陆志韦、卢前,
352,卢前一生致力于新旧文学创作,现当代,现当代,,,卢前创作在现代文学中极富价值,卢前出身书香门第，1922年因数学成绩不合格以“特别生”名义被东南大学破格录取，从吴梅先生治曲，被誉为“江南才子”，成为吴门中继任中敏之后的又一位近代散曲学大家，同时也是一位著述丰富的诗人、剧作家、文学和戏剧评论家，一生致力于新旧文学创作、搜集整理传统典籍和对传统文学的现代转化，在新旧文学的创作实绩和研究水准上都是现代文学中极富价值和别具特色的一部分。,卢前,作者事件,文人+影响,,,卢前,
354,卢前创作突破了新旧樊篱,现当代,现当代,,,卢前是东南大学新诗阵营的重要创作者,从卢前留下的众多新诗创作看来，他是难得的自觉融和新旧文学特征的作家，突破了新旧樊篱，将诗歌创作回归于本质，既是南京浓厚的传统文学底蕴的继承者与发扬者，也是东南大学新诗阵营中的重要创作者和研究者。,卢前,作者事件,文人+作品内容,南京,东南大学,卢前,
355,丘逢甲诗文得到时人高度评价,清,清,,,丘逢甲的绝句和七律受到好评,丘逢甲是晚清时期的著名诗人，他的诗文尤其是绝句和七律得到时人的高度评价，梁启超将其誉为“诗界革命巨子”，文学史家钱仲联曾评其《岭云海日楼诗钞》“七律一种，开满劲弓，吹裂铁笛，真成义军旧将之诗”柳亚子称赞他：“时流竟说黄公度，英气终输仓海君，战血台澎心未死，寒笳残角海东云。”,丘逢甲,作者事件,文人+事件,,,丘逢甲、梁启超、钱仲联、柳亚子,《岭云海日楼诗钞》
356,丘逢甲与南京渊源极深,现当代,现当代,,1911-11-01 00:00:00,丘逢甲作品歌颂辛亥革命,他与民国南京渊源极深，甚至可称之为民国缔造者之一。 1911年11月下旬广东独立后，他被推举为南京民国临时议会的广东省代表之一，也是唯一一位台湾籍代表。南京会议期间，丘逢甲尤为欣喜，他踏雪游历了明孝陵、莫愁湖等名胜古迹，连作《谒明孝陵》《登扫叶楼》《雪中游莫愁湖》等十首诗，热情歌颂辛亥革命，抒发自己的喜悦，诗人放眼宇内，处处生机勃发，民族复兴在望，感慨良多。,丘逢甲,作者事件,文人+作品内容,南京,明孝陵、莫愁湖,丘逢甲,《谒明孝陵》、《登扫叶楼》、《雪中游莫愁湖》
364,《学衡》在校内失火后开始衰败,现当代,现当代,,1923年,《学衡》诗歌开始展示感时忧世的情怀,“学衡派”成员游山玩水后的记游诗也占了较大份额，如柳诒徵的《独往灵谷寺》《庚申四月十日游牛首山》等，诗风轻松自然，多景物描摹，少感怀伤逝。1923年末东南大学发生巨变，校内失火、刘伯明去世，《学衡》迅速走上衰败，这时的诗歌开始展示感时忧世的情怀，如柳诒徵的《校东楼灾诗以吊之》（28期，1924年4月）。诗中抒发了校内失火带来的悲痛心情，除了财物资料的损失外，更让人疑虑学校会否因火灾而一蹶不振。在这种忧虑心情里，作者自晚清李瑞清修建的“梅庵”走过，怀想这所学校从晚清到民国的历程，感伤自己八年来就职于此而建立的深厚情谊。1924年东南大学西洋文学系解散，吴宓决定离开南京时，柳诒徵写了《甲子六月十六日偕吴雨僧吴碧柳观龙膊子湘军轰城处作》（33期，1924年9月）。,《学衡》,作品事件,作品+作品内容,南京,东南大学,刘伯明、柳诒徵的、吴宓,《独往灵谷寺》、《庚申四月十日游牛首山》、《学衡、《校东楼灾诗以吊之》、《甲子六月十六日偕吴雨僧吴碧柳观龙膊子湘军轰城处作》
365,《学衡》刊发诗作题材多为现实生活，《国风》延续了《学衡》对中华民族传统文化的推崇,现当代,现当代,,1923年、1923年、1926年、1930年,《学衡》第54期沿用了旧文人诗歌唱和的方式，《国风》延续了《学衡》，与新文化阵营针锋相对。,《学衡》刊发的诗作善从现实生活寻找题材，第54期（1926年6月)中沿用了旧文人诗歌唱和的方式，对传统文人组织诗会、互相唱和的雅趣的继承，也和30年代中央大学教授分韵写诗的闲情逸致相似。《国风》半月刊创刊于1932年9月1日，终刊于1936年12月，共出版8卷90号。《国风》延续了《学衡》中对中华民族传统文化的推崇，从文学观念到文学形式都与新文化阵营针锋相对，尊崇儒家思想，坚持并推广旧体诗词创作。刊物的基本编辑模式和文章的半文言文体都和《学衡》相近。唯一不同的是柳诒徵及其门下弟子在《学衡》前期是不积极的撰稿人，不参与编辑活动。而《国风》的编辑活动主要由柳门弟子完成，文风质朴，材料扎实，注重国学研究。“尊孔”是《国风》以“民族文化”为本位的突出表现。,《学衡》,作品事件,作品+事件,,,向楚、陈衡恪、柳诒徵、李思纯,《过金陵》、《浦口待车·是时闻临城盗劫》、《国风》、《学衡》
367,陈三立在金陵实现转型,现当代,现当代,,1901年,陈三立作品多忧国忧民,陈三立自晚清以来定居南京，作为晚清以来诗坛影响最大的“同光体”代表诗人和赣派（近代江西诗派）首领，他定居金陵的三十多年正是他从晚清四公子之一 “义宁公子”转型为“神州袖手人”的“散原老人”的过程。他不再关心政治，在散原精舍中创作了上千首忧国忧民的诗作。现存代表诗集《散原精舍诗》《散原精舍诗续集》都是这个时期的成熟之作。其后期诗歌主题多集中于民族危亡、家国之痛，既有对列强入侵的愤慨无奈，又有对腐败落后的清廷的绝望，又有对战乱中民众的深切同情。父亲去世后，1901年清明他创作了《崝庐述哀诗五首》：“昏昏取旧途，惘惘穿荒径。扶服崝庐中，气结泪已凝。……呜呼父何之，儿罪等枭獍。终天作孤儿，鬼神下为证。(《其一》)”诗作将家国破碎的痛苦失意凝聚在成年无依的 “孤儿”身上。父母合葬的墓地是诗人感情的寄托，因此关于西山崝庐的题咏成为陈三立文学创作中比较集中的主题。,陈三立,作者事件,文人+作品特点,金陵,,陈三立,《散原精舍诗》、《散原精舍诗续集》、《崝庐述哀诗五首》
368,陈立三多次组织文人雅集,清,清,,,陈立三与同光体交往成就其独特诗风,面对八国联军入侵、国将不国的情况，陈三立悲愤地写道：“狼嗥豕突哭千门，溅血车茵处处村。”诗句生动刻画了八国联军烧杀抢掠的暴行及中国民众的悲惨处境。这种局面与晚清政府腐败无能有密切关联。这个时期，陈三立及其友人俞明震、缪荃孙、陈庆年、陈作霖、李瑞清等交游密切，曾多次组织文人雅集，其中与“同光体”诗歌领袖郑孝胥的频繁交往，既是一段佳话，也成就了陈三立独特的诗风：“避俗避熟，力求生涩”。诗句中常用“残阳”“劫灰”“苍茫”“疏灯”等意象连缀出悲凉萧瑟的景象，风格沉郁顿挫，被视为清末诗坛泰斗。,陈三立,活动,文人＋事件,,,陈三立、俞明震、缪荃孙、陈庆年、陈作霖、李瑞清、郑孝胥，,
372,吴梅与学生组织“潜社”,现当代,现当代,,1923年,吴梅起名为“潜社”旨在希望大家埋头学习,1924年2、3月间吴梅与学生组织“潜社”，之所以用“潜”字命名，据说是因为吴梅认为当时“东大教授中，实不免有借学术的组织，作其他种种企图的。他不愿意因此而引起其他的纠纷，所以用这个名字，希望大家埋头学习，暂时不要卷入政治的漩涡。”1924年春至1926年，东大学生赵万里、陆维钊、王起（季思）、唐圭璋、濮舜卿等十多人参与其中，“社有规条三：一、不标榜；二、不逃课；三、潜修为主。” “潜社”每一月或两月一聚，在秦淮河上游玩饮酒中填词谱曲。“以词课为常，间或课曲。在万全酒家举行次数最多。或买舟秦淮，其舟曰‘多丽舫’。社友既集，择调命题，舟乃复荡至复成桥下。”,潜社,活动,文人+事件,,,吴梅、赵万里、陆维钊、王起（季思）、唐圭璋、濮舜卿,
373,朱自清以南京为背景创作作品,现当代,现当代,,,朱自清因多次游览南京,朱自清虽未在南京长期居住，但因他家乡在扬州，往返北京、上海、浙江均从南京浦口车站乘车，因此曾多次游览南京，并以南京为背景创作了叙事散文《背影》，抒情散文《桨声灯影下的秦淮河》《南京》。叙事散文《背影》描述了1917年冬父亲在南京车站为作者送别的经历，散文中人物、情节都很简单，父亲送我到车站，临别前在车站翻越栏杆为我买路上吃的橘子，文笔清晰，用回忆的手法记录了车站上定格于“我”心中的父亲的背影。这个奋斗终生却在晚年赋闲在家的旧式知识分子为了家庭在社会上苦苦挣扎，却难逃老来颓唐的处境。父亲的背影并不高大，却是旧时代中国所有父亲的缩影：他们默默肩负着家庭的重任，前无支持，后无依靠，妻儿老小全仰赖自己生活，一生只能竭力奉献，绝不哀求怜悯。简短的篇幅中四次提到作者“流泪”：祖母去世让“我”倍感天人永隔的悲痛；父亲蹒跚着去买橘子让我痛悔自己的轻狂，充满无法分担父亲肩头重担的无力感；车站分别时感受到父亲多年的艰辛，为亲人离散伤感；之后阅读父亲来信，为父性的宽厚又一次流下伤感无力的眼泪。成为父亲意味着从此失去了退缩的权力，即便失去亲情的落脚点，经济上困顿无助，也绝不能在亲人面前露出穷途末路的感伤。,朱自清,作品事件,文人+事件,,南京,朱自清,《背影》、《桨声灯影下的秦淮河》
376,鲁迅记录在南京停留和求学的过程,现当代,现当代,,1913年-1932年,鲁迅有关南京的创作大约50余篇，诗歌创作与现实处境相关，其中两首以南京为主题的咏史诗赠送给日本夫妇，在《朝花夕拾·琐记》细致回顾自己在南京的求学生涯。,鲁迅在1913年到1932年的日记中记录了十次路过南京略作停留的过程。在鲁迅眼中，南京虽陈旧保守，却别有一番敦厚质朴的亲近感鲁迅写于南京、回忆南京，在南京印行和涉及南京的论文、著述、日记和书信大约50余篇。目前所能看到的鲁迅最早的作品是1898年他在南京创作的散文《戛剑生杂记》和《莳花杂志》。1914年前后鲁迅曾创作十三首旧体诗歌《别诸弟》《莲蓬人》《惜花》等，作品多与作者当时的现实处境有关，托物言志，文采斐然。1931年6月14日鲁迅在上海创作了两首以南京为主题的咏史诗《无题二首》赠送给日本宫崎龙介、白莲女士夫妇。这对夫妇是应国民政府邀请访问中国，与鲁迅的会面是由他们共同的朋友内山完造安排的。宫崎龙介与国民党关系密切，其父亲宫崎弥藏早年支持孙中山的革命活动，叔父宫崎寅藏支持帮助孙中山组建同盟会以及在南京创建的中华民国临时政府，是国民党政府的亲密盟友。宫崎夫妇与鲁迅的会面过程中大约谈及了他们刚拜访过的南京，故而鲁迅以南京为主题写作了两首旧体诗歌。两首诗深切缅怀了革命先烈的丰功伟绩，以写实、抒情的手法将历史与现实，革命业绩与精神统一起来。诗句虽简短，却能展现出鲁迅的旧学功底。鲁迅在《朝花夕拾·琐记》中细致回顾过自己在南京的求学生涯。1898年因科场舞弊案家道败落的鲁迅背井离乡，在远亲帮助下投考南京仪凤门外的江南水师学堂。1899年到1902年鲁迅转学到江南陆师学堂附设的矿路学堂。《朝花夕拾》的散文《琐记》里鲁迅回忆就读于矿路学堂时在青龙山煤矿看到的人间地狱般的矿洞状况：“情形实在颇为凄凉，抽水机当然还在转动，矿洞里积水却有半尺深，上面(淋水)点滴而下，几个矿工便在这里面鬼一般工作着。”,鲁迅,作者事件,文人+事件,南京、上海,,朱自清、鲁迅、宫崎龙介、 白莲、宫崎弥藏、孙中山,《戛剑生杂记》、《莳花杂志》、《别诸弟》、《莲蓬人》、《惜花》、《呐喊·自序》、《朝花夕拾·琐记》、《忽然想到》、《无题二首》、《朝花夕拾》、《琐记》
378,朱自清以南京为背景创作作品，与俞平伯同游秦淮河创作游记散文,现当代,现当代,,1923年、1934年,朱自清多次游览南京，创作的散文《南京》透露出朱自清对南京赞美，和俞平伯同游秦淮河创作游记散文。,朱自清曾多次游览南京，并以南京为背景创作了叙事散文《背影》，抒情散文《桨声灯影下的秦淮河》、《南京》。叙事散文《背影》描述了1917年冬父亲在南京车站为作者送别的经历，散文中人物、情节都很简单，文笔清晰，用回忆的手法记录了车站上定格于“我”心中的父亲的背影。《桨声灯影下的秦淮河》是朱自清和俞平伯1923年8月同游秦淮河之后创作了游记散文，俞平伯也同时创作了这一题目的散文。这两篇散文成为现代文坛上的双生花，朱自清文字简洁地描述了游览的始末，对七板子舱前顶下的灯彩、夜幕笼罩的大小船上的灯火烟霭、沿着秦淮河岸边行走沿途远远传来的弦歌声、大中桥和桥边残破的房子都进行了细致的描述。而俞平伯的文章则截取大中桥外的灯火光影河水和游船进行粗略勾画，作品不重记事写景，重在内里的哲学思考，他在逆旅人生中考量的是混乱世情，拒绝秦淮河上的歌女邀约也并不是出于道德考量，他的所思所想远超出了秦淮河这个特定场景，升华到人生苦难的难以规避，众生皆苦而爱永存。抒情散文《南京》是朱自清1934年8月创作的。在这篇散文里作者以流览的眼光欣赏南京，从古建筑到饮食文化，从古代遗迹到现代变迁，将南京古城的方方面面尽收眼底，自然飘逸，惹人喜爱。文中有一丝淡淡的哀愁与怀念，也透着无限的欣赏与赞美。,朱自清,作者事件,文人+事件,南京,秦淮河,朱自清、俞平伯、,《桨声灯影下的秦淮河》、《南京》、《背影》
379,侯曜创作《山河目》筹款,现当代,现当代,,1923年,《山河目》创作与演出较有代表性,侯曜的剧作家及导演的道路开始于东南大学，1923年东南大学主楼口字房遭遇火灾，1924年学生自治会议决定举办游艺会，排演剧作筹款，侯曜自告奋勇进行剧本《山河泪》创作并参与排演来筹募善款，《山河泪》的创作与演出较有代表性，这本书在上海商务印书馆作为文学研究会通俗戏剧丛书第四种出版发行。侯曜为创作《山河泪》曾亲访参与独立运动的朝鲜革命家，“《山河泪》取材于《韩国独立运动之血史》《韩国真相》和英文版的《高丽之独立运动》三书内容。”作者花了几个星期搜集材料并进行撰写，排演时还曾亲自扮演剧中角色安南潜。选题的主要目的“是描写韩国独立运动的精神，并借此书替世界被压迫的民族作不平鸣，向帝国主义之野心家作一当头棒喝，更希望世界此后成一个平等、博爱、互助、共存的大乐园。我不知道这本剧能否衔得起这个重要的使命？但是无论如何，总可以赤裸裸的把作者的苦心表现出来吧！”剧作借歌颂韩国独立运动，隐喻当下危机重重的中国社会，替全世界被压迫的民族发出一声不平的怒吼，展现奋勇拼搏的民族精神。,侯曜,作品事件,作品+影响,,,侯曜,《山河泪》
380,侯曜与同仁组建剧社，出演剧作,现当代,现当代,,,侯曜促进了南京现代戏剧事业的发展,随后侯曜与同仁一起组建剧社，公演自己创作的校园剧《人间乐园》《弃妇》《复活的玫瑰》等。这种选择是侯曜处于自身对戏剧的爱好，也是当时青年知识分子试图以戏剧形式启蒙民众的意图的体现，客观上促进了南京现代戏剧事业的发展。,侯曜,作者事件,文人+影响,,,侯曜,《人间乐园》《弃妇》《复活的玫瑰》
381,侯曜早期剧作基本均在校内创作,现当代,现当代,,1922年、1924年、1925年,侯曜早期剧作基本均在校内创作,侯曜早期剧作基本均在校内创作：《弃妇》1922年11月初“脱稿于东南大学”、“改订于南京平民教育促进会”；《可怜闺里月》“十二，四，十六，改订于南京鸡鸣寺”；《摘星之女》“1924年8月15日于东大”；《顽石点头》“1925年元月27日改订于南京东南大学”；《春的生日》“民国14年2月7日作于东大”。,侯曜,作品事件,文人+事件,,,侯曜,《弃妇》、《可怜闺里月》、《摘星之女》、《顽石点头》、《春的生日》
382,侯曜第一本剧作集出版,现当代,现当代,,,剧作以爱情婚恋题材为主,《复活的玫瑰》《刀痕》《可怜闺里月》结集成册，成为侯曜出版的第一本剧作集。前两出戏以青年人关心的爱情婚恋题材为主，重点凸显青年人对封建制度和家长包办制的反叛，对传统礼教吃人本性予以揭发。,侯曜,作品事件,作品内容,,,侯曜,《复活的玫瑰》《刀痕》《可怜闺里月》
384,侯曜剧作重塑了吴芷芳形象,现当代,现当代,,,侯曜塑造的中国娜拉更有时代性和艺术感染力，得到王式禹盛赞,侯曜在剧作《弃妇》（上海商务印书馆，1925）中塑造了中国娜拉吴芷芳的独特形象。《弃妇》在被搬上电影银幕之前，原名为《空谷佳人》。吴芷芳原本是一个在封建黑暗社会中苦苦挣扎的传统女性，安于做一名循规蹈矩的贤妻良母，不料时运不济，丈夫出轨，婆婆百般刁难，不得已离开婆家，成了受人嫌憎的弃妇。但她受过基本教育，在人生困境中幸运地获得同学杨素贞的帮助，从依附于他人生存的弃妇蜕变为经济独立、个性解放的现代女性。面对吃人的社会她宣告：“我与其做万恶家庭的奴隶，不如做黑暗社会的明灯！我与其困死在家庭的地狱里，不如战死在社会的地狱里！我与其把眼泪洗面，不如拿鲜血沐浴。”然而残酷的环境并没有为女性留出独立的空间，吴芷芳就任秘书一职却受到老板的欺凌，失业后她愤懑地指出女性如同奴隶，在社会、家庭中遭受重重压迫，如何从这个噩梦中醒来，如何让女性拜托宿命的悲剧，如何与不公的社会进行抗争？“我们女子今天到了这种奴隶的地位，并不是命运上应该如此。实在是因为我们失掉女权的原故！我以为决不能归罪于命运，只有归罪于自己！我们自己为什么自暴自弃！我们自己为什么大梦不醒！我们自己为什么不要脸！为什么不争气！为什么不努力！为什么放弃人权而不争！”这一悲壮的与旧时代决裂的宣言，让侯曜塑造的中国娜拉更有时代性和艺术感染力。王式禹盛赞这一角色是20世纪以来女性解放的典范，如海上灯塔一般为迷茫困顿的女性们指明了斗争的路径。“《空谷佳人》中的芷芳，足为谈女子解放者之模范，乃女子悲苦的结晶。足以振起女子自身之精神，使向前奋斗；足以引起社会情感，使大家了解，辅助以除去女子解放的阻碍。在这黑暗的世界里，有了这本剧，也可谓空谷之足音，海中灯塔上的光闪了。”,《弃妇》,作品事件,文人+事件,,,侯曜、吴芷芳、中国娜拉、王式禹,《空谷佳人》、《弃妇》
386,侯曜在中国戏剧史上占有一席之地,现当代,现当代,,,侯曜《影戏剧本作法》被认为建立了新的东方理论体系,毕业后侯曜曾在上海长城、联华等影片公司担任戏剧编导，知名作品有《海角诗人》《弃妇》《摘星之女》《西厢记》等影视作品，他的现实主义戏剧风格在中国戏剧史上占有一席之地，被誉为“中国现代话剧文学开拓者”和“新派电影家”，其电影理论著作《影戏剧本作法》被认为是于西方戏剧理论之外建立了新的东方理论体系。,侯曜,作者事件,文人+作品+影响,,,侯曜,《海角诗人》、《弃妇》、《摘星之女》、《西厢记》、《影戏剧本作法》
387,濮舜卿和侯曜一起组织剧社和排演,现当代,现当代,,,濮舜卿与侯曜是同学、戏剧合作者及伴侣,教育系的濮舜卿不仅是侯曜的同学、志同道合的戏剧合作者，也是他的伴侣，在东南大学就读时他们一起组织东南剧社并参与剧作排演。,濮舜卿,作者事件,文人+事件,,,濮舜卿、侯曜,
394,《国风》延续了《学衡》,现当代,现当代,,,《国风》与新文化阵营针锋相对,《国风》半月刊创刊于1932年9月1日，终刊于1936年12月，共出版8卷90号。刊物的宗旨是：“一、发扬中国固有之文化，二、昌明世界最新之学术。”柳诒徵将其详细解释为：“本史迹以导政术，基地守以策民瘼，格物致知，择善固执；虽不囿于一家一派之成见，要以隆人格而升国格为主。”从宗旨看来，《国风》延续了《学衡》中对中华民族传统文化的推崇，从文学观念到文学形式都与新文化阵营针锋相对，尊崇儒家思想，坚持并推广旧体诗词创作，学术上以国学研究为主，适当译介西方新知，另有零星文章结合时事，与科学、国防教育有关。刊物的基本编辑模式和文章的半文言文体都和《学衡》相近。唯一不同的是柳诒徵及其门下弟子在《学衡》前期是不积极的撰稿人，不参与编辑活动。而《国风》的编辑活动主要由柳门弟子完成，文风质朴，材料扎实，注重国学研究。“尊孔”是《国风》以“民族文化”为本位的突出表现。,《国风》,作品事件,作品+事件,,,,《国风》、《学衡》
395,中国左翼作家联盟成立,现当代,现当代,,1930年,左联影响力扩散，不断在各地建立外围组织,在决议指导下，1930年中国左翼作家联盟经过多次筹备会议商讨成立，《萌芽月刊》在第1卷第3期中以“文学者参加‘自由大同盟’底发起”为题报道了左联纲领及主要成员相关信息。左联在上海成立后，对年轻人的影响力迅速扩散，不断在各地建立外围组织。,《萌芽月刊》,活动,流派+事件,,,,《萌芽月刊》
396,上海剧联组建南京分盟,现当代,现当代,,1933年,南京分盟团结了一批作家和戏剧家,1933年陈鲤庭和宋之的受上海剧联指派到南京组建了南京分盟。作家联盟和中国左翼戏剧家联盟分别在南京成立了分盟，团结了一批作家和戏剧家，代表作家有张天翼、方光焘、胡风、巴人、吴组缃、陈白尘、欧阳山、蒋牧良、楼适夷、瞿白音、洪叶（吴天）、施玉、王家绳、高履谦、许之乔等。,南京分盟,活动,流派+事件,,,陈鲤庭、宋之的、张天翼、方光焘、胡风、巴人、吴组缃、陈白尘、欧阳山、蒋牧良、楼适夷、瞿白音、洪叶（吴天）、施玉、王家绳、高履谦、许之乔,
397,侯曜组建剧社，公演原创校园剧，促进了南京现代戏剧事业的发展,现当代,现当代,,1923年,侯曜促进了南京现代戏剧事业的发展，剧作以爱情婚恋题材为主，塑造的中国娜拉更有时代性和艺术感染力，得到王式禹盛赞，他的平等观念和创作思路颇有勇气，他创作与演出的《山河目》较有代表性，《影戏剧本作法》被认为建立了新的东方理论体系。,侯曜的剧作家及导演的道路开始于东南大学，教育系的濮舜卿与他一起组织东南剧社并参与剧作排演。濮舜卿不仅是侯曜的同学、志同道合的戏剧合作者，也是他的伴侣， 1924年学生自治会议决定举办游艺会，排演剧作筹款，侯曜自告奋勇进行剧本《山河泪》创作并参与排演来筹募善款，《山河泪》的创作与演出较有代表性，剧作借歌颂韩国独立运动，隐喻当下危机重重的中国社会，替全世界被压迫的民族发出一声不平的怒吼，展现奋勇拼搏的民族精神。随后侯曜与同仁一起组建剧社，公演自己创作的校园剧《人间乐园》、《弃妇》、《复活的玫瑰》等。这种选择客观上促进了南京现代戏剧事业的发展。其中《复活的玫瑰》、《刀痕》、《可怜闺里月》结集成册，成为侯曜出版的第一本剧作集。毕业后侯曜曾在上海长城、联华等影片公司担任戏剧编导，知名作品有《海角诗人》《弃妇》《摘星之女》《西厢记》等影视作品，剧作《弃妇》中塑造了中国娜拉吴芷芳经济独立、个性解放的现代女性的独特形象。《弃妇》中提出现代女权运动应鼓励女性自力更生，进而争取男女平权，作为男性剧作家，侯曜的这种平等观念和创作思路在当时是颇有勇气的，他运用现实主义手法对社会现实制度提出强烈批判，以被欺凌的无助女性命运来抒发知识分子在社会中遭受的重重压迫和挫败，进而借用剧中人物对腐朽黑暗的旧观念进行批判，塑造新的知识分子形象，塑造新的人生意义。他的创作体现出对现实的关注和对弱势群体的悲悯同情，他创作戏剧的目的也就是在这个罪恶的世界里安慰疗救那些遭遇悲惨的灵魂。他的现实主义戏剧风格在中国戏剧史上占有一席之地，被誉为“中国现代话剧文学开拓者”和“新派电影家”，1935 年初上海剧联章泯导演应邀到南京指导洪深原创剧作《香稻米》和挪威剧作家易卜生的名作《娜拉》。其中《娜拉》是20世纪20年代中国青年知识分子的启蒙社会剧，演员精湛细腻的演出激发了中国青年追求个性解放、婚恋自由的人性要求，上海剧联推荐他们赴沪巡回演出。但娜拉的扮演者王苹因演出失业，并被家人限制人身自由，剧社为此强烈抗议，在舆论界引起轩然大波，社会压力迫使张道藩出面调解恢复王苹的教职，以女性真实的抗争轨迹重现了娜拉的勇敢无畏。,侯曜,作者事件,文人+作品+事件,,,侯曜、吴芷芳、中国娜拉、王式禹、濮舜卿、章泯、洪深、易卜生、娜拉、王苹、张道藩,《山河泪》、《人间乐园》、《弃妇》、《复活的玫瑰》、《刀痕》、《可怜闺里月》、《空谷佳人》、《海角诗人》、《摘星之女》、《西厢记》、《影戏剧本作法》、《香稻米》、《娜拉》
398,左翼剧联解散,现当代,现当代,,1936年,左翼剧联因严政治局势解散,活跃的剧社活动引起国民党当局的警觉，剧社活动多次受到警察干涉，被迫转入地下。在严酷的政治局势下1936 年左翼剧联宣布解散，南京分盟中部分成员离宁赴沪。,左翼剧联,作者事件,流派+事件,,,,
399,“青春文艺社”成立,现当代,现当代,,1931年,“青春文艺社”1931年成立于南京,“青春文艺社”1931年成立于南京，主要成员有向培良、朱之倬、姜缦郎等。1931年向培良在南京五卅中学任教，随后朱之倬、黄志尚、戴望峰等人也从长沙来到南京，他们共同商议成立青春文艺社，出版《青春》月刊。,“青春文艺社”,活动,事件,南京,,姜缦郎、向培良、朱之倬、黄志尚、戴望峰,《青春》
